,SKU,keyword,Category,Mapped keyword
412,"Girls' Never Stop Metallic Leggings - Little Kid, Big Kid","[""girls'"", 'never', 'stop', 'metallic', 'leggings', '-', 'little', 'kid', 'big', 'kid']",Bottoms,leggings
413,Icon Stripe Intarsia Ankle Socks,"['icon', 'stripe', 'intarsia', 'ankle', 'socks']",Footwear,socks
414,Cypress Short Down Jacket,"['cypress', 'short', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
415,Boxed In Cotton Logo Graphic Tee,"['boxed', 'in', 'cotton', 'logo', 'graphic', 'tee']",Shirts and Tops,tee
416,Hooded Cardigan,"['hooded', 'cardigan']","Sweaters, Hoodies, Sweatshirts",hooded
417,Men's Signature Stripe Low Top Sneakers,"['men', 'signature', 'stripe', 'low', 'top', 'sneakers']",Shirts and Tops,top
418,Kent Hooded Puffer Jacket,"['kent', 'hooded', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
419,Women's Jack Vintage Check Low Top Sneakers,"['women', 'jack', 'vintage', 'check', 'low', 'top', 'sneakers']",Shirts and Tops,top
420,Cardigan Down Puffer Coat,"['cardigan', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
421,Astrological Silk Skinny Scarf,"['astrological', 'silk', 'skinny', 'scarf']",Headwear and Neckwear,scarf
422,Big Pine Logo Crewneck Slim Fit Tee,"['big', 'pine', 'logo', 'crewneck', 'slim', 'fit', 'tee']",Shirts and Tops,tee
423,Girls' Never Stop Running Shorts - Big Kid,"[""girls'"", 'never', 'stop', 'running', 'shorts', '-', 'big', 'kid']",Bottoms,shorts
424,Women's Furley Vintage Check Slide Sandals,"['women', 'furley', 'vintage', 'check', 'slide', 'sandals']",Footwear,sandals
425,Unisex Detachable Hood Down Kennie Jacket - Big Kid,"['unisex', 'detachable', 'hood', 'down', 'kennie', 'jacket', '-', 'big', 'kid']","Jackets, Coats, Parkas, and Bombers",jacket
426,"Boys' Check Panel Cotton Hooded Jacket - Little Kid, Big Kid","[""boys'"", 'check', 'panel', 'cotton', 'hooded', 'jacket', '-', 'little', 'kid', 'big', 'kid']","Jackets, Coats, Parkas, and Bombers",jacket
427,Edward Down Coat,"['edward', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
428,"Girls' Burberry Bristle Tee - Little Kid, Big Kid","[""girls'"", 'burberry', 'bristle', 'tee', '-', 'little', 'kid', 'big', 'kid']",Shirts and Tops,tee
429,Bleu Hooded Down Coat,"['bleu', 'hooded', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
430,Enet Hooded Jacket,"['enet', 'hooded', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
431,Morgat Quilted Cropped Jacket,"['morgat', 'quilted', 'cropped', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
432,Men's High Top Basket Sneakers,"['men', 'high', 'top', 'basket', 'sneakers']",Shirts and Tops,top
433,Women's Furley Logo Slide Sandals,"['women', 'furley', 'logo', 'slide', 'sandals']",Footwear,sandals
434,Women's Regis Low Top Sneakers,"['women', 'regis', 'low', 'top', 'sneakers']",Shirts and Tops,top
435,Quilted Hooded Down Jacket,"['quilted', 'hooded', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
436,Big Pine Logo Graphic Tee,"['big', 'pine', 'logo', 'graphic', 'tee']",Shirts and Tops,tee
437,Women's Bady Slim Short Down Jacket,"['women', 'bady', 'slim', 'short', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
438,Lightweight Giant Check Wool & Silk Scarf,"['lightweight', 'giant', 'check', 'wool', '&', 'silk', 'scarf']",Headwear and Neckwear,scarf
439,Camp Hoody Packable Mid-Length Down Coat,"['camp', 'hoody', 'packable', 'mid-length', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
440,Unisex Ready To Wear Hoodie,"['unisex', 'ready', 'to', 'wear', 'hoodie']","Sweaters, Hoodies, Sweatshirts",hoodie
441,Script Silk Skinny Scarf,"['script', 'silk', 'skinny', 'scarf']",Headwear and Neckwear,scarf
442,Women's Gabardine Logo Print Low Top Sneakers,"['women', 'gabardine', 'logo', 'print', 'low', 'top', 'sneakers']",Shirts and Tops,top
443,Wool & Cashmere Turtleneck Sweater,"['wool', '&', 'cashmere', 'turtleneck', 'sweater']","Sweaters, Hoodies, Sweatshirts",sweater
444,Girls' Arctic Swirl Parka - Big Kid,"[""girls'"", 'arctic', 'swirl', 'parka', '-', 'big', 'kid']","Jackets, Coats, Parkas, and Bombers",parka
445,Contrast Jogger Pants,"['contrast', 'jogger', 'pants']",Bottoms,jogger
446,Women's Arthur Story Low Top Sneakers,"['women', 'arthur', 'story', 'low', 'top', 'sneakers']",Shirts and Tops,top
447,Suyen Hooded Down Parka,"['suyen', 'hooded', 'down', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
448,Sniktau Short Sleeve Sun Shirt,"['sniktau', 'short', 'sleeve', 'sun', 'shirt']",Shirts and Tops,shirt
449,Men's Cashmere Knit Gloves,"['men', 'cashmere', 'knit', 'gloves']",Headwear and Neckwear,gloves
450,Box NSE Printed Standard Fit Jogger Pants,"['box', 'nse', 'printed', 'standard', 'fit', 'jogger', 'pants']",Bottoms,jogger
451,Women's Icon Stripe Sandals,"['women', 'icon', 'stripe', 'sandals']",Footwear,sandals
452,Men's Kaveh Double G Loafers,"['men', 'kaveh', 'double', 'g', 'loafers']",Footwear,loafers
453,Roxboro Coat,"['roxboro', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
454,Men's Off The Grid Slide Sandals,"['men', 'off', 'the', 'grid', 'slide', 'sandals']",Footwear,sandals
455,"Women's Ramsey Leather, Suede & Vintage Check Sneakers","['women', 'ramsey', 'leather', 'suede', '&', 'vintage', 'check', 'sneakers']",Footwear,sneakers
456,Shearling Trim Down Puffer Coat,"['shearling', 'trim', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
457,Quilted Vest,"['quilted', 'vest']",Vests,vest
458,Men's Nuptse Mules,"['men', 'nuptse', 'mules']",Footwear,mules
459,Cascade Sports Cap,"['cascade', 'sports', 'cap']",Headwear and Neckwear,cap
460,Puffer Vest,"['puffer', 'vest']","Jackets, Coats, Parkas, and Bombers",puffer
461,Adali Asymmetric Hooded Coat,"['adali', 'asymmetric', 'hooded', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
462,Men's Compassor Low Top Sneakers,"['men', 'compassor', 'low', 'top', 'sneakers']",Shirts and Tops,top
463,Shiloh Hooded Down Coat,"['shiloh', 'hooded', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
464,"Boys' Matthew Vintage Check Piqu̩ Shirt - Little Kid, Big Kid","[""boys'"", 'matthew', 'vintage', 'check', 'piqua', 'shirt', '-', 'little', 'kid', 'big', 'kid']",Shirts and Tops,shirt
465,Alliston Packable Short Down Coat,"['alliston', 'packable', 'short', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
466,Unisex Jersey Tee & Shorts Set - Little Kid,"['unisex', 'jersey', 'tee', '&', 'shorts', 'set', '-', 'little', 'kid']",Shirts and Tops,tee
467,Men's GG Signature Stripe Slide Sandals,"['men', 'gg', 'signature', 'stripe', 'slide', 'sandals']",Footwear,sandals
468,Gie Hooded Down Puffer Coat,"['gie', 'hooded', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
469,Marus Hooded Down Coat,"['marus', 'hooded', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
470,Lans Puffer Coat,"['lans', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
471,Men's Tennis 1977 Slip On Sneakers,"['men', 'tennis', '1977', 'slip', 'on', 'sneakers']",Footwear,sneakers
472,Roundel Logo Cashmere Blend Knit Gloves,"['roundel', 'logo', 'cashmere', 'blend', 'knit', 'gloves']",Headwear and Neckwear,gloves
473,Women's Emily Vintage Check Thong Sandals,"['women', 'emily', 'vintage', 'check', 'thong', 'sandals']",Footwear,thong
474,Men's Signature Stripe Slide Sandals,"['men', 'signature', 'stripe', 'slide', 'sandals']",Footwear,sandals
475,Men's Brixton Leather Apron Toe Loafers,"['men', 'brixton', 'leather', 'apron', 'toe', 'loafers']",Footwear,loafers
